threshold,test_sensitivity,test_specificity,test_precision,test_f1,test_accuracy,test_tp,test_fp,test_fn,test_tn,mean_false_alarms_per_hour,std_false_alarms_per_hour,mean_false_alarm_events,n_long_records
0.48,0.9833333333333333,0.9919246298788694,0.9672131147540983,0.9752066115702479,0.9902491874322861,177,6,3,737,264.0,177.9887636902959,4.4,5
0.5,0.9833333333333333,0.9932705248990579,0.9725274725274725,0.9779005524861878,0.991332611050921,177,5,3,738,216.0,138.13037319865606,3.6,5
0.52,0.9833333333333333,0.9932705248990579,0.9725274725274725,0.9779005524861878,0.991332611050921,177,5,3,738,168.0,122.96340919151518,2.8,5
0.54,0.9777777777777777,0.9946164199192463,0.9777777777777777,0.9777777777777777,0.991332611050921,176,4,4,739,168.0,122.96340919151518,2.8,5
0.56,0.9777777777777777,0.9946164199192463,0.9777777777777777,0.9777777777777777,0.991332611050921,176,4,4,739,132.0,136.82105101189657,2.2,5
0.58,0.9777777777777777,0.9946164199192463,0.9777777777777777,0.9777777777777777,0.991332611050921,176,4,4,739,108.0,88.99438184514796,1.8,5
0.6,0.9722222222222222,0.9946164199192463,0.9776536312849162,0.9749303621169917,0.9902491874322861,175,4,5,739,96.0,68.41052550594829,1.6,5
0.62,0.9611111111111111,0.9946164199192463,0.9774011299435028,0.969187675070028,0.9880823401950163,173,4,7,739,96.0,68.41052550594829,1.6,5
0.64,0.95,0.9959623149394348,0.9827586206896551,0.9661016949152542,0.9869989165763814,171,3,9,740,60.0,60.0,1.0,5
0.66,0.95,0.9959623149394348,0.9827586206896551,0.9661016949152542,0.9869989165763814,171,3,9,740,60.0,60.0,1.0,5
0.68,0.9444444444444444,0.9973082099596231,0.9883720930232558,0.9659090909090909,0.9869989165763814,170,2,10,741,36.0,53.665631459994955,0.6,5
0.7,0.9277777777777778,0.9973082099596231,0.9881656804733728,0.9570200573065902,0.9837486457204767,167,2,13,741,36.0,53.665631459994955,0.6,5
0.72,0.9222222222222223,0.9973082099596231,0.9880952380952381,0.9540229885057471,0.9826652221018418,166,2,14,741,24.0,32.863353450309965,0.4,5
0.74,0.9222222222222223,0.9973082099596231,0.9880952380952381,0.9540229885057471,0.9826652221018418,166,2,14,741,24.0,32.863353450309965,0.4,5
0.76,0.9222222222222223,0.9973082099596231,0.9880952380952381,0.9540229885057471,0.9826652221018418,166,2,14,741,12.0,26.832815729997478,0.2,5
0.78,0.9055555555555556,0.9973082099596231,0.9878787878787879,0.9449275362318841,0.9794149512459371,163,2,17,741,12.0,26.832815729997478,0.2,5
0.8,0.8833333333333333,0.9986541049798116,0.99375,0.9352941176470588,0.9761646803900325,159,1,21,742,12.0,26.832815729997478,0.2,5
0.82,0.8611111111111112,1.0,1.0,0.9253731343283582,0.9729144095341279,155,0,25,743,0.0,0.0,0.0,5
0.84,0.8333333333333334,1.0,1.0,0.9090909090909091,0.9674972914409534,150,0,30,743,0.0,0.0,0.0,5
0.86,0.8222222222222222,1.0,1.0,0.9024390243902439,0.9653304442036836,148,0,32,743,0.0,0.0,0.0,5
0.88,0.7722222222222223,1.0,1.0,0.8714733542319749,0.9555796316359697,139,0,41,743,0.0,0.0,0.0,5
0.9,0.7388888888888889,1.0,1.0,0.8498402555910544,0.9490790899241603,133,0,47,743,0.0,0.0,0.0,5
0.92,0.7277777777777777,1.0,1.0,0.842443729903537,0.9469122426868906,131,0,49,743,0.0,0.0,0.0,5
0.94,0.7222222222222222,1.0,1.0,0.8387096774193549,0.9458288190682557,130,0,50,743,0.0,0.0,0.0,5
0.96,0.6944444444444444,1.0,1.0,0.819672131147541,0.9404117009750813,125,0,55,743,0.0,0.0,0.0,5
0.98,0.6555555555555556,1.0,1.0,0.7919463087248322,0.9328277356446371,118,0,62,743,0.0,0.0,0.0,5
1.0,0.45555555555555555,1.0,1.0,0.6259541984732825,0.8938244853737811,82,0,98,743,0.0,0.0,0.0,5
