seed,duration_s,artifact_count,threshold,false_alarm_events,false_alarms_per_hour,positive_windows
46,60.0,5,0.6,3,180.0,7
46,60.0,5,0.62,3,180.0,7
46,60.0,5,0.64,2,120.0,4
46,60.0,5,0.66,2,120.0,4
46,60.0,5,0.68,2,120.0,3
46,60.0,5,0.7,2,120.0,3
46,60.0,5,0.72,1,60.0,1
46,60.0,5,0.74,1,60.0,1
46,60.0,5,0.76,0,0.0,0
46,60.0,5,0.78,0,0.0,0
46,60.0,5,0.8,0,0.0,0
46,60.0,5,0.82,0,0.0,0
46,60.0,5,0.84,0,0.0,0
46,60.0,5,0.86,0,0.0,0
46,60.0,5,0.88,0,0.0,0
46,60.0,5,0.9,0,0.0,0
46,60.0,5,0.92,0,0.0,0
46,60.0,5,0.94,0,0.0,0
46,60.0,5,0.96,0,0.0,0
46,60.0,5,0.98,0,0.0,0
46,60.0,5,1.0,0,0.0,0
