row,label,center_s,start_s,end_s,record_id,record_type,seed,mean,std,variance,rms,abs_mean,ptp,minimum,maximum,skew,kurtosis,line_length,diff_std,max_abs_diff,zero_crossing_rate,slope,energy,band_delta_0p5_4_hz,band_theta_4_8_hz,band_alpha_8_13_hz,band_beta_13_30_hz,band_gamma_30_80_hz,band_10_40_hz,high_to_low_power_ratio,spectral_entropy,dominant_freq_hz
1055,0,3.2995,3.0500000000000003,3.549,weak_runaway_seed_46,weak_runaway,46,-0.2853146229328154,0.8073470188510115,0.6518092088476154,0.8562789515729731,0.6686923525974284,4.443590355447686,-2.645046574071091,1.7985437813765952,-0.26964635998551245,-0.13656498100391223,188.7789064321605,0.23340028651970246,0.5841653874734427,0.10020040080160321,-0.39578287128958767,0.73321364290691,0.0,0.014579078734685681,0.020190562334911812,0.035003624405401654,0.10803100476036745,0.07925385035987371,1.894993594544845,0.6001136499638773,2.0000000000002203
1056,0,3.3495,3.1,3.599,weak_runaway_seed_46,weak_runaway,46,-0.3052179114390639,0.8115050673880556,0.6585404743964928,0.8670054485755653,0.6848472737376724,4.443590355447686,-2.645046574071091,1.7985437813765952,-0.2257279543651613,-0.13589351774025138,188.76272284301828,0.23346195331413436,0.5841653874734427,0.09619238476953908,-1.2775132895222991,0.7516984478597172,0.0,0.012416131671603632,0.022585390914678677,0.037784825707150776,0.12624251961608485,0.09434584849777175,2.2057072126539037,0.6038672923830926,2.0000000000002203
1057,0,3.3994999999999997,3.15,3.649,weak_runaway_seed_46,weak_runaway,46,-0.1823399647261486,0.8867583325966033,0.7863403404295082,0.9053111084957708,0.7142207956380054,4.853634066880594,-2.645046574071091,2.208587492809503,-0.17125385108119554,-0.14605012281726681,187.2125387421992,0.23067009106575254,0.5841653874734427,0.08016032064128256,-0.2533195546501681,0.8195882031658412,0.0,0.019334041744068185,0.017536607983830305,0.047422791992937294,0.13573905181093415,0.12132268964490898,2.388780982588073,0.6144031635671188,2.0000000000002203
1058,0,3.4495000000000005,3.2,3.6990000000000003,weak_runaway_seed_46,weak_runaway,46,-0.1377288620051262,0.8785399035304287,0.7718323620952549,0.8892702634882614,0.6970270265779941,4.853634066880594,-2.645046574071091,2.208587492809503,-0.2269327668829935,-0.07304444104260721,176.5494103749485,0.2195678293839048,0.5841653874734427,0.0841683366733467,-1.0076681697345193,0.7908016015244819,0.0,0.0331848029676617,0.012446941042706825,0.0552503932917971,0.13387112714953947,0.14712344015363518,1.8803019892130293,0.5952257555576247,2.0000000000002203
1059,0,3.4995000000000003,3.25,3.749,weak_runaway_seed_46,weak_runaway,46,-0.1350960379051794,0.8797468927378502,0.7739545952819025,0.8900592872048356,0.699693705941148,4.853634066880594,-2.645046574071091,2.208587492809503,-0.234853494738284,-0.0874512100378908,181.59985696443823,0.2239744337249752,0.5841653874734427,0.08817635270541083,-0.2046429604208967,0.7922055347395801,0.0,0.048160656317443505,0.018499822873339386,0.05438981130306332,0.12665801569594148,0.1616452649267895,1.3090790697588865,0.5707534907138645,4.0000000000004405
1060,0,3.5495,3.3000000000000003,3.799,weak_runaway_seed_46,weak_runaway,46,-0.23298078556236693,0.8673624349360889,0.752317593538261,0.8981078108888256,0.7060791952746988,4.853634066880594,-2.645046574071091,2.208587492809503,-0.07603388587989084,-0.035063801330694755,186.85949351732663,0.23005519321725998,0.5841653874734427,0.09418837675350701,0.39192787805827484,0.8065976399795186,0.0,0.05747389376546175,0.033300186215173846,0.04810838983509091,0.12041627733853576,0.16577016606677789,1.0115455248552967,0.5592182631196236,4.0000000000004405
1061,0,3.5995,3.35,3.849,weak_runaway_seed_46,weak_runaway,46,-0.1847259390623181,0.8922763334788972,0.7961570552865441,0.9111974143120685,0.7319535704761452,4.853634066880594,-2.645046574071091,2.208587492809503,-0.09110247941118199,-0.22205241089972505,188.13279850120264,0.2303115586736385,0.5841653874734427,0.08817635270541083,0.9972306926376755,0.8302807278489993,0.0,0.0558242994758842,0.04805960044404448,0.04563788397409522,0.11347475733362568,0.16372954078781146,0.9011423435191803,0.5552114856504613,4.0000000000004405
1062,0,3.6494999999999997,3.4,3.899,weak_runaway_seed_46,weak_runaway,46,-0.16587347521408294,0.8919592931666614,0.7955913806663703,0.9072515585249591,0.7252102580496115,4.853634066880594,-2.645046574071091,2.208587492809503,-0.11825231103813695,-0.18066001876815685,190.626527659036,0.23276718637871519,0.5841653874734427,0.08817635270541083,2.006037399522494,0.8231053904459673,0.0,0.04094681229677434,0.05739241473922563,0.05179025088848194,0.10309408752272729,0.1580989051885185,1.048947779243494,0.5765666735549503,4.0000000000004405
1063,0,3.6995000000000005,3.45,3.9490000000000003,weak_runaway_seed_46,weak_runaway,46,-0.14123443675851377,0.8760161061465297,0.767404218228128,0.8873282280839614,0.7045153081823464,4.853634066880594,-2.645046574071091,2.208587492809503,-0.17699636960146012,-0.07554352818766041,180.06229983002805,0.22143579571105637,0.5425306880639789,0.08617234468937876,2.2992989647396107,0.7873513843546226,0.0,0.02214867512359395,0.058274922680373736,0.06089868337227403,0.09266470808738497,0.1477490446455635,1.4407634589317313,0.6067115384634101,10.000000000001101
1064,0,3.7495000000000003,3.5,3.999,weak_runaway_seed_46,weak_runaway,46,-0.049303995467084076,0.8111680463912726,0.6579935994862337,0.8126650499776965,0.6422589073383249,4.853634066880594,-2.645046574071091,2.208587492809503,-0.18959029360604993,0.27061028252980757,175.88997525424645,0.21669993902352802,0.5302360653723417,0.07615230460921844,1.310764833992311,0.660424483455252,0.0,0.012858875714857065,0.04958161090107066,0.06345850662115377,0.08922069856141321,0.13233200981494717,1.9497740694317207,0.6146521548876447,26.000000000002863
